Team Name;Year;Wins;Losses;OT Losses;Win %;Goals For (GF);Goals Against (GA);+ / -;goals_ratio;victory_percentage
Hartford Whalers;1996;32;39;;0.39;226;256;-30;0.8828125;
Los Angeles Kings;1996;28;43;;0.341;214;268;-54;0.7985074626865671;
Montreal Canadiens;1996;31;36;;0.378;249;276;-27;0.9021739130434783;
New Jersey Devils;1996;45;23;;0.549;231;182;49;1.2692307692307692;
New York Islanders;1996;29;41;;0.354;240;250;-10;0.96;
New York Rangers;1996;38;34;;0.463;258;231;27;1.1168831168831168;
Ottawa Senators;1996;31;36;;0.378;226;234;-8;0.9658119658119658;
Philadelphia Flyers;1996;45;24;;0.549;274;217;57;1.262672811059908;
Phoenix Coyotes;1996;38;37;;0.463;240;243;-3;0.9876543209876543;
Pittsburgh Penguins;1996;38;36;;0.463;285;280;5;1.0178571428571428;
San Jose Sharks;1996;27;47;;0.329;211;278;-67;0.7589928057553957;
St. Louis Blues;1996;36;35;;0.439;236;239;-3;0.9874476987447699;
Tampa Bay Lightning;1996;32;40;;0.39;217;247;-30;0.8785425101214575;
Toronto Maple Leafs;1996;30;44;;0.366;230;273;-43;0.8424908424908425;
Vancouver Canucks;1996;35;40;;0.427;257;273;-16;0.9413919413919414;
Washington Capitals;1996;33;40;;0.402;214;231;-17;0.9264069264069265;
Mighty Ducks of Anaheim;1997;26;43;;0.317;205;261;-56;0.7854406130268199;
Boston Bruins;1997;39;30;;0.476;221;194;27;1.1391752577319587;
Buffalo Sabres;1997;36;29;;0.439;211;187;24;1.1283422459893049;
Calgary Flames;1997;26;41;;0.317;217;252;-35;0.8611111111111112;
Carolina Hurricanes;1997;33;41;;0.402;200;219;-19;0.91324200913242;
Chicago Blackhawks;1997;30;39;;0.366;192;199;-7;0.964824120603015;
Colorado Avalanche;1997;39;26;;0.476;231;205;26;1.1268292682926828;
Dallas Stars;1997;49;22;;0.598;242;167;75;1.4491017964071857;
Detroit Red Wings;1997;44;23;;0.537;250;196;54;1.2755102040816326;
Edmonton Oilers;1997;35;37;;0.427;215;224;-9;0.9598214285714286;
Florida Panthers;1997;24;43;;0.293;203;256;-53;0.79296875;
Los Angeles Kings;1997;38;33;;0.463;227;225;2;1.008888888888889;
Montreal Canadiens;1997;37;32;;0.451;235;208;27;1.1298076923076923;
